fid,Hg_con_PPB,Species,Location type,Forest type,Location type_1,time_bnds_1,Land cover/use,SoilQualityData; Nutrient availability,SoilQualityData; Excess salts,SoilQualityData; Workability,SoilQualityData; Toxicity,SoilQualityData; Rooting contitions,SoilQualityData; Oxygen availability to roots,SoilQualityData; Nutrient retention capacity,SoilLandCoverData; barren/very sparsely vegetated land,SoilLandCoverData; grass/scrub/woodland,"SoilLandCoverData; forest land, calibrated to FRA2000 land statistics",SoilLandCoverData; rain-fed cultivated land,"SoilLandCoverData; irrigated cultivated land, according to GMIA 4.0",SoilLandCoverData; total cultivated land,SoilLandCoverData; mapped water bodies,SoilLandCoverData; built-up land (residential and infrastructure),10m_Elevation
272,50,Callicladium haldanianum (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
273,100,Campyliadelphus chrysophyllus (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
274,60,Fissidens adianthoides (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
275,70,Homalia trichnomanoides (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
276,80,Hygroamblystegium varium (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
277,70,Hygrohypnum spp. (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
278,90,Hypnum pallescens (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
279,100,Leskeella nervosa (1),remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
280,90,Pohlia nutans (2) Cv1: all species2 average: all species2,remote,/,Urban-agriculture,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
281,80,Atrichum altercristatum (6),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
282,70,Brachythecium plumosum (2),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
283,90,Brachythecium rutabulum (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
284,30,Bryhnia graminicolor (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
285,50,Callicladium haldanianum (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
286,100,Campyliadelphus chrysophyllus (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
287,60,Fissidens adianthoides (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
288,70,Homalia trichnomanoides (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
289,80,Hygroamblystegium varium (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
290,70,Hygrohypnum spp. (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
291,90,Hypnum pallescens (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
292,100,Leskeella nervosa (1),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
293,90,Pohlia nutans (2),remote,/,remote,,16,1,1,2,1,2,1,1,0,7.503945351,21.15204048,59.91617584,0.081139684,59.99731445,0,11.34669971,444
294,21.7,"Black cherry, Prunus serotina, Red Oak, Quercus rubra, Smooth serviceberry, ",remote,Decidous,remote,,20,2,1,3,1,3,1,2,0,11.67699718,66.27875519,1.854048848,0,1.854048848,19.95859909,0.231599987,374
295,33.3,"Black ash Fraxinus nigra, Red maple, Acer rubrum",remote,Decidous,remote,,18,1,1,1,1,1,1,1,0,3.486197948,11.00501537,24.22197151,0.097519279,24.31949043,60.9733963,0.215900004,79
