"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Change Request","Priority","Severity","Type"
1663785,"Firefox","Protections UI","nobody","NEW"," ---","Add Telemetry probes to the tracking protection list chooser UI"," ---","P2"," --","task"
1664840,"Firefox","Search","nobody","NEW"," ---","Collect the number of ads displayed per SERP"," ---","P2","N/A","task"
1664850,"Firefox","Search","nobody","NEW"," ---","Collect ""unrendered ads"" on SERP pages"," ---","P2","N/A","task"
1664872,"Firefox","Security","nobody","NEW"," ---","Clean up legacy DoH config support"," ---","P2","N/A","task"
1664875,"Firefox","Security","nobody","NEW"," ---","Upgrade UI for DoH in about:preferences to allow re-enabling heuristics, expose state e.g. steering, etc"," ---","P2"," --","enhancement"
1664877,"Firefox","Security","nobody","NEW"," ---","Bring DoH enterprise config capability to parity with remote-settings per-region config structure"," ---","P2"," --","enhancement"
1665958,"Firefox","Messaging System","nobody","NEW"," ---","a11y review of Alpenglow theme"," ---","P2"," --","task"
1666284,"Firefox","Site Permissions","nobody","NEW"," ---","Determine if the indicator needs to be in the ""Window"" list on macOS"," ---","P2","N/A","task"
1667391,"Firefox","Messaging System","nobody","NEW"," ---","Should Activity Stream data reporting respect the 30min Data Reporting Policy?"," ---","P2"," --","task"
1668044,"Firefox","Messaging System","nobody","NEW"," ---","simple system to update newtab/aboutwelcome NodeJS deps"," ---","P2"," --","task"
1668045,"Firefox","Messaging System","nobody","NEW"," ---","update NodeJS dependencies by handle security issues."," ---","P2","S3","defect"
1668047,"Firefox","Messaging System","nobody","NEW"," ---","evaluate solutions to using act() in all React tests"," ---","P2"," --","task"
1668588,"Firefox","Pocket","nobody","NEW"," ---","Remove and cleanup some dead code in save to pocket button"," ---","P2"," --","enhancement"
1671011,"Firefox","Security","nobody","NEW"," ---","HTTP authentication with tab-modal shows last page's window title"," ---","P2","S3","defect"
1671458,"Firefox","Installer","nobody","NEW"," ---","Consider collecting Telemetry and filtering attribution origins on macOS"," ---","P2"," --","enhancement"
1671938,"Firefox","New Tab Page","nobody","NEW"," ---","Customizable background components on new tab"," ---","P2"," --","enhancement"
1671940,"Firefox","New Tab Page","nobody","NEW"," ---","Themes should be able to be set from the new tab page"," ---","P2"," --","enhancement"
1673868,"Firefox","Search","nobody","NEW"," ---","Random Telemetry results for DuckDuckGo search with ads."," ---","P2","S4","defect"
1673940,"Firefox","New Tab Page","nobody","NEW"," ---","Newtab user events telemetry needs comprehensive tests"," ---","P2","S3","enhancement"
1674301,"Firefox","Address Bar","nobody","NEW"," ---","Keyword searches intermittently don't work, end up doing a Google search"," ---","P2","S3","defect"
1675098,"Firefox","Protections UI","nobody","NEW"," ---","Firefox erroneously reports cookies as blocked when Firefox is set to block all third-party cookies"," ---","P2","S3","defect"
1675198,"Firefox","Site Permissions","nobody","NEW"," ---","The permission list should scroll when there are too many items"," ---","P2","S3","defect"
1675567,"Firefox","Address Bar","nobody","NEW"," ---","Notify onResultPicked to all types of add-on Urlbar Providers"," ---","P2","N/A","task"
1675620,"Firefox","Messaging System","nobody","NEW"," ---","Add a dummy impression for zero-onboarding to facilitate user retention analysis"," ---","P2"," --","enhancement"
1676180,"Firefox","Top Sites","nobody","NEW"," ---","Topsite loses pin after reorganized and jumps position"," ---","P2","S3","defect"
1676861,"Firefox","Preferences","nobody","NEW"," ---","Add learn more link to dFPI/FPI incompatibility warning"," ---","P2","S3","defect"
1678744,"Firefox","Address Bar","nobody","NEW"," ---","[meta] Proton - Address bar work"," ---","P2","N/A","task"
1680026,"Firefox","Security","nobody","NEW"," ---","Add tests for DoH Heuristics"," ---","P2","S4","defect"
1682049,"Firefox","Address Bar","nobody","NEW"," ---","Omnibox API WebExtensions - ""content"" is not supposed to be shown in the urlbar panel"," ---","P2","S3","defect"
1683367,"Firefox","Messaging System","nobody","NEW"," ---","Support wizardless import inside onboarding flow"," ---","P2","S3","enhancement"
1684828,"Firefox","Security","nobody","NEW"," ---","Modularize TRR performance measurement API"," ---","P2","S4","defect"
1685329,"Firefox","General","nobody","NEW"," ---","Verify ""Primary password"" modals use new window-modal UI"," ---","P2"," --","task"
1685378,"Firefox","New Tab Page","nobody","NEW"," ---","[RTL] Pinned top site's Pin icons are not mirrored, and at the wrong spot"," ---","P2","S3","defect"
1685517,"Firefox","New Tab Page","nobody","NEW"," ---","New tab customize menu close button should always be visible"," ---","P2"," --","enhancement"
1685792,"Firefox","New Tab Page","nobody","NEW"," ---","New tab telemetry - click events on customize menu"," ---","P2"," --","enhancement"
1686248,"Firefox","New Tab Page","nobody","NEW"," ---","The “Personalize” button has a blue “focus-visible” border if the button is in clicked state right after the address bar is focused"," ---","P2","S4","defect"
1687074,"Firefox","Preferences","nobody","NEW"," ---","about:preferences findInPage highlight is very difficult to see when combining dark mode with custom highlight / text colours using ui.* prefs"," ---","P2","S3","defect"
1687153,"Firefox","Search","nobody","NEW"," ---","Search keyword is not consistent with localized Wikipedia search engine name"," ---","P2","S3","defect"
1687455,"Firefox","New Tab Page","nobody","NEW"," ---","The ""Close"" button is not automatically focused if the ""Customize"" menu is opened via keyboard navigation"," ---","P2","S3","defect"
1687456,"Firefox","New Tab Page","nobody","NEW"," ---","The ""Personalize"" button is not automatically focused if the ""Customize"" menu is dismissed via keyboard navigation"," ---","P2","S3","defect"
1687506,"Firefox","Screenshots","nobody","NEW"," ---","Consider lazy-initializing Screenshot's localization"," ---","P2","N/A","enhancement"
1687919,"Firefox","Messaging System","nobody","NEW"," ---","Provide a way to specify priority for multiple conflicting messages"," ---","P2"," --","enhancement"
1688822,"Firefox","Messaging System","nobody","NEW"," ---","What's new - limit focus ring to only the ""Learn More"" link string"," ---","P2","S4","enhancement"
1688916,"Firefox","New Tab Page","nobody","NEW"," ---","Customize Menu - Double scroll bars appear when using a mouse."," ---","P2","S4","defect"
1689857,"Firefox","Address Bar","nobody","NEW"," ---","Address bar does not remember multiple words with keyword.enabled set to false"," ---","P2","S3","defect"
1691942,"Firefox","Messaging System","nobody","NEW"," ---","Include screen purpose in aboutwelcome telemetry"," ---","P2","S3","enhancement"
1693701,"Firefox","Theme","nobody","NEW"," ---","Tabs shrink at the end of tab drag-and-drop if they are moved to the start or end of the tab bar, in maximized windows"," ---","P2"," --","defect"
1693755,"Firefox","File Handling","nobody","NEW"," ---","Downloaded file extension unexpectedly changes to HTML when using ""open with"" and can execute code (based on content type sent by the server that doesn't match filename)"," ---","P2","S3","defect"
1694767,"Firefox","Messaging System","nobody","NEW"," ---","Investigate adding Windows 10 ""Tiles"" to the Start Menu"," ---","P2","S3","enhancement"
1694802,"Firefox","Menus","nobody","NEW"," ---","Proton AppMenu panel becomes scrollable if the user has a low-ish resolution"," ---","P2","S4","defect"
1694976,"Firefox","Menus","nobody","NEW"," ---","Address feedback from UX on Proton AppMenu"," ---","P2","N/A","task"
1695865,"Firefox","Messaging System","nobody","NEW"," ---","Fix ASRouter/AboutNewtabParent console error messages"," ---","P2","S3","defect"
1696573,"Firefox","Screenshots","nobody","NEW"," ---","[Meta] Move screenshots into a dedicated browser component"," ---","P2","S4","enhancement"
1697319,"Firefox","about:logins","nobody","NEW"," ---","Add CSV import telemetry to the https://sql.telemetry.mozilla.org/dashboard/pwmgr-login-import dashboard"," ---","P2","N/A","task"
1697392,"Firefox","Search","nobody","NEW"," ---","Failing to get search suggestions with ""FormHistoryClient constructed with both a formField and an inputName"" error"," ---","P2","S3","defect"
1697401,"Firefox","Menus","nobody","NEW"," ---","AppMenu FxA ""Show more tabs"" option does not work using keyboard only"," ---","P2","S3","defect"
1697447,"Firefox","Menus","nobody","NEW"," ---","Disabled/Enabled Menu items have no visual differences with Dark/Light themes enabled"," ---","P2","S3","defect"
